Species,Number Increase PSMs
Gardnerella vaginalis,172
Actinomyces hongkongensis,1
Actinomyces ihumii,0
Actinomyces radingae,0
Aerococcus christensenii,2
Anaerococcus lactolyticus,4
Anaerococcus mediterraneensis,0
Anaerococcus prevotii,-1
Anaerococcus vaginalis,0
Arcanobacterium haemolyticum,-1
Atopobium minutum,0
Bacteroides faecis,0
Bacteroides stercoris,0
Bacteroides thetaiotaomicron,0
Bifidobacterium dentium,0
Bilophila wadsworthia,0
Bulleidia extructa,0
Campylobacter ureolyticus,0
Clostridium leptum,0
Dialister micraerophilus,1
Dialister sp,5
Eggerthella like,-2
Escherichia coli,0
Eubacterium sp,0
Ezakiella massiliensis,0
Fannyhessea vaginae,-1
Fenollaria massiliensis,0
Fenollaria timonensis,0
Finegoldia magna,2
Fusobacterium nucleatum,-1
Gemella asaccharolytica,0
Gemella haemolysans,0
Haemophilus haemolyticus,0
Lachnocurva vaginae,29
Lactobacillus coleohominis,0
Lactobacillus crispatus,-2
Lactobacillus iners,-13
Lactobacillus jensenii,-4
Lactobacillus reuteri,0
Lactobacillus vaginalis,0
Lawsonella clevelandensis,0
Mageeibacillus indolicus,0
Megasphaera hutchinsoni,57
Megasphaera lornae,-2
Megasphaera micronuciformis,0
Mobiluncus curtisii,-5
Mobiluncus holmesii,0
Mobiluncus mulieris,10
Murdochiella vaginalis,0
Mycoplasma hominis,0
Oscillibacter ruminantium,9
Parvimonas micra,0
Peptococcus niger,11
Peptoniphilus grossensis,0
Peptoniphilus lacrimalis,-1
Peptostreptococcus anaerobius,-3
Peptostreptococcus stomatis,0
Porphyromonas endodontalis,0
Porphyromonas sp,-1
Porphyromonas uenonis,-1
Prevotella amnii,3
Prevotella bergensis,2
Prevotella bivia,-6
Prevotella buccalis,-1
Prevotella colorans,-2
Prevotella disiens,0
Prevotella intermedia,0
Prevotella timonensis,-1
Sneathia sanguinegens,0
Sneathia vaginalis,-2
Streptococcus agalactiae,0
Streptococcus anginosus,0
Streptococcus mitis,0
Streptococcus pseudopneumoniae,0
Streptococcus salivarius,0
Sutterella sp,0
Sutterella wadsworthensis,0
TM7 H1,0
Ureaplasma parvum,0
Veillonella atypica,0
Veillonella montpellierensis,3
Dialister propionicifaciens,0
BVAB2,378
Candidatus TM7,0
